dataset,provider,mode,accuracy,hit5,mrr5,source
BarExamQA,groq-llama70b,golden_passage,0.792000,,,docs/signoff_log.md
BarExamQA,groq-llama70b,golden_plus_neighbors,0.778000,1.000000,1.000000,docs/signoff_log.md
BarExamQA,groq-llama70b,llm_only,0.787000,,,docs/signoff_log.md
BarExamQA,groq-llama70b,rag_hyde,0.802000,0.104600,,docs/signoff_log.md
BarExamQA,groq-llama70b,rag_rewrite,0.772000,0.122200,0.056500,docs/signoff_log.md
BarExamQA,groq-llama70b,rag_simple,0.746000,0.014200,0.006800,docs/signoff_log.md
BarExamQA,groq-llama70b,snap_hyre,0.797000,0.110500,,docs/signoff_log.md
BarExamQA,groq-llama8b,golden_passage,0.600000,1.000000,1.000000,docs/signoff_log.md
BarExamQA,groq-llama8b,golden_plus_neighbors,0.618000,1.000000,1.000000,docs/signoff_log.md
BarExamQA,groq-llama8b,llm_only,0.573000,,,docs/signoff_log.md
BarExamQA,groq-llama8b,rag_hyde,0.561000,0.082800,0.045200,docs/signoff_log.md
BarExamQA,groq-llama8b,rag_rewrite,0.573000,0.087900,0.046900,docs/signoff_log.md
BarExamQA,groq-llama8b,rag_simple,0.545000,0.014200,0.006800,docs/signoff_log.md
BarExamQA,groq-llama8b,snap_hyre,0.569000,0.095400,0.046900,docs/signoff_log.md
BarExamQA,or-gemma4-26b,golden_passage,0.786000,,,docs/signoff_log.md
BarExamQA,or-gemma4-26b,golden_plus_neighbors,0.807000,1.000000,1.000000,docs/signoff_log.md
BarExamQA,or-gemma4-26b,llm_only,0.808000,,,docs/signoff_log.md
BarExamQA,or-gemma4-26b,rag_hyde,0.803000,0.113800,0.054200,docs/signoff_log.md
BarExamQA,or-gemma4-26b,rag_rewrite,0.807000,0.122200,0.060400,docs/signoff_log.md
BarExamQA,or-gemma4-26b,rag_simple,0.780000,0.014200,0.006800,docs/signoff_log.md
BarExamQA,or-gemma4-26b,snap_hyre,0.820000,0.120500,0.060200,docs/signoff_log.md
HousingQA,groq-llama70b,golden_passage,0.673000,1.000000,1.000000,docs/signoff_log.md
HousingQA,groq-llama70b,golden_plus_neighbors,0.660000,1.000000,1.000000,docs/signoff_log.md
HousingQA,groq-llama70b,llm_only,0.448000,,,docs/signoff_log.md
HousingQA,groq-llama70b,rag_hyde,0.622000,0.349500,0.226000,docs/signoff_log.md
HousingQA,groq-llama70b,rag_rewrite,0.558000,0.098400,0.059300,docs/signoff_log.md
HousingQA,groq-llama70b,rag_simple,0.621000,0.369500,0.233000,docs/signoff_log.md
HousingQA,groq-llama70b,snap_hyre,0.596000,0.231100,0.142700,docs/signoff_log.md
HousingQA,groq-llama8b,golden_passage,0.643000,1.000000,1.000000,docs/signoff_log.md
HousingQA,groq-llama8b,golden_plus_neighbors,0.638000,1.000000,1.000000,docs/signoff_log.md
HousingQA,groq-llama8b,llm_only,0.554000,,,docs/signoff_log.md
HousingQA,groq-llama8b,rag_hyde,0.591000,0.269500,0.168800,docs/signoff_log.md
HousingQA,groq-llama8b,rag_rewrite,0.634000,0.102400,0.060100,docs/signoff_log.md
HousingQA,groq-llama8b,rag_simple,0.623000,0.369500,0.233000,docs/signoff_log.md
HousingQA,groq-llama8b,snap_hyre,0.590000,0.295600,0.188800,docs/signoff_log.md
HousingQA,or-gemma4-26b,llm_only,0.561000,,,docs/signoff_log.md
HousingQA,or-gemma4-26b,rag_hyde,0.650000,0.306300,0.196400,docs/signoff_log.md
HousingQA,or-gemma4-26b,rag_simple,0.661000,0.369500,0.233000,docs/signoff_log.md
HousingQA,or-gemma4-26b,snap_hyre,0.651000,0.380700,0.245200,docs/signoff_log.md
HousingQA,or-gemma4-26b,snap_hyre_exemplar_q500,0.628000,0.412000,0.264700,docs/signoff_log.md
