name,log,n,correct,accuracy,calls_per_q,tokens_per_q,input_tokens_per_q,output_tokens_per_q,empty_retrieval,gold_retrieval
barexam_top1,logs/eval_rag_simple_or-gemma4-26b_20260428_0138_detail.jsonl,200,166,0.83,1.0,1102.275,468.85,633.425,0,0.005
barexam_top5,logs/eval_rag_simple_or-gemma4-26b_20260428_0231_detail.jsonl,200,165,0.825,1.0,1608.345,988.53,619.815,0,0.025
barexam_snap,logs/eval_rag_snap_hyde_or-gemma4-26b_20260428_0257_detail.jsonl,200,172,0.86,3.0,3912.945,2616.675,1296.27,0,0.095
barexam_2call,logs/eval_rag_snap_hyde_2call_or-gemma4-26b_20260428_1435_detail.jsonl,200,171,0.855,2.0,2846.455,1625.1,1221.355,0,0.09
housing_top1,logs/eval_rag_simple_or-gemma4-26b_20260430_0415_detail.jsonl,200,101,0.505,1.0,766.45,388.175,378.275,0,0.01
housing_top5,logs/eval_rag_simple_or-gemma4-26b_20260430_0502_detail.jsonl,200,107,0.535,1.0,2459.865,1920.27,539.595,0,0.035
housing_top10,logs/eval_rag_simple_or-gemma4-26b_20260430_0542_detail.jsonl,200,116,0.58,1.0,4582.57,3978.97,603.6,0,0.055
housing_2call,logs/eval_rag_snap_hyde_2call_or-gemma4-26b_20260430_0644_detail.jsonl,200,114,0.57,2.0,3160.155,2453.305,706.85,0,0.095
housing_state5,logs/eval_rag_state_filter_or-gemma4-26b_20260501_1406_detail.jsonl,200,123,0.615,1.0,2550.34,2146.44,403.9,0,0.405
scalr_top1,logs/eval_rag_simple_groq-llama70b_20260429_2159_detail.jsonl,200,119,0.595,1.0,947.17,517.655,429.515,0,0.325
scalr_top5,logs/eval_rag_simple_groq-llama70b_20260428_1508_detail.jsonl,200,154,0.77,1.0,1146.375,723.44,422.935,0,0.54
scalr_top10,logs/eval_rag_simple_groq-llama70b_20260430_0054_detail.jsonl,200,154,0.77,1.0,1395.645,978.73,416.915,0,0.63
scalr_2call,logs/eval_rag_snap_hyde_2call_groq-llama70b_20260428_1520_detail.jsonl,200,150,0.75,2.0,2185.615,1337.44,848.175,0,0.55
casehold_top1,logs/eval_rag_simple_groq-llama70b_20260501_1432_detail.jsonl,200,129,0.645,1.0,956.43,521.415,435.015,0,0.09
casehold_top5,logs/eval_rag_simple_groq-llama70b_20260430_1738_detail.jsonl,200,139,0.695,1.0,1097.065,673.445,423.62,0,0.16
casehold_top10,logs/eval_rag_simple_groq-llama70b_20260501_1440_detail.jsonl,200,136,0.68,1.0,1285.53,864.2,421.33,0,0.19
casehold_hyde,logs/eval_rag_hyde_groq-llama70b_20260501_1449_detail.jsonl,200,144,0.72,2.0,1771.65,1239.42,532.23,0,0.52
casehold_2call,logs/eval_rag_snap_hyde_2call_groq-llama70b_20260430_1751_detail.jsonl,200,144,0.72,2.0,2200.74,1310.25,890.49,0,0.47
